,Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
73,European Union,EUU,CO2 emissions (kt),EN.ATM.CO2E.KT,3362393.57,3419467.7,3411198.4,3502218.8,3507496.7,3488154.9,3497012.5,3456575.2,3378891.8,3129196.1,3213190.0,3118369.0,3059098.2,2982333.4,2836772.0,2895707.4,2905124.2,2926622.7,2862314.5,2724946.2
74,Fragile and conflict affected situations,FCS,CO2 emissions (kt),EN.ATM.CO2E.KT,789750.887,815541.372,808335.392,837865.286,827647.721,841074.234,843049.548,836241.829,860614.145,817011.301,883425.54,885716.797,928376.42,939743.82,913740.457,831283.54,849559.99,842218.89,859012.99,851746.54
75,Finland,FIN,CO2 emissions (kt),EN.ATM.CO2E.KT,55097.5,61088.1,63439.7,71708.1,67682.9,55460.2,67024.9,65102.7,56660.1,54180.9,62526.4,55123.4,49408.1,50191.3,46161.7,42815.4,45700.3,43015.4,44581.3,40706.8
76,Fiji,FJI,CO2 emissions (kt),EN.ATM.CO2E.KT,807.98,1040.32,884.54,1047.03,1466.93,1288.79,1383.73,1262.21,965.92,970.39,1163.82,1112.5,1030.17,1133.6,1288.84,1383.25,1520.57,1654.91,1627.57,1632.37
77,France,FRA,CO2 emissions (kt),EN.ATM.CO2E.KT,373116.8,376727.3,371018.2,376705.7,377785.5,380655.1,371547.0,362828.2,357990.2,343733.5,347778.1,335139.7,338418.6,338555.7,306100.5,311300.8,313921.8,317828.8,307049.9,300515.6
78,Faroe Islands,FRO,CO2 emissions (kt),EN.ATM.CO2E.KT,,,,,,,,,,,,,,,,,,,,
79,"Micronesia, Fed. Sts.",FSM,CO2 emissions (kt),EN.ATM.CO2E.KT,134.4,151.3,141.2,155.8,159.7,164.0,144.2,138.5,120.9,134.5,111.9,117.7,128.9,137.3,142.3,148.3,173.6,175.5,174.7,175.2
80,Gabon,GAB,CO2 emissions (kt),EN.ATM.CO2E.KT,6079.8,6225.55,5955.2,6436.2,6090.8,6058.1,5437.0,4941.01,5272.37,5199.98,5758.49,5776.74,5601.87,5790.37,5962.05,6116.1,6420.0,5333.1,5122.3,5245.5
81,United Kingdom,GBR,CO2 emissions (kt),EN.ATM.CO2E.KT,530888.0,545262.0,530785.7,543036.9,543075.7,540916.8,542060.7,530502.3,515335.5,466492.3,482441.2,445591.6,467780.3,453761.3,415599.3,401078.5,380811.8,367002.4,360734.7,348921.9
82,Georgia,GEO,CO2 emissions (kt),EN.ATM.CO2E.KT,4772.8,3516.2,2958.4,3157.2,3373.1,4243.1,4701.3,5626.6,4838.8,5624.3,5322.1,6521.8,7193.0,7837.4,8469.2,9201.1,9651.9,9725.8,9568.7,10113.2
83,Ghana,GHA,CO2 emissions (kt),EN.ATM.CO2E.KT,5737.9,6209.6,7431.7,7140.0,6680.7,7044.3,8505.0,9115.3,8659.0,10013.3,11192.4,11748.2,14614.4,15633.4,15089.3,15778.2,16069.8,17013.8,18675.1,20040.6
84,Gibraltar,GIB,CO2 emissions (kt),EN.ATM.CO2E.KT,,,,,,,,,,,,,,,,,,,,
85,Guinea,GIN,CO2 emissions (kt),EN.ATM.CO2E.KT,1490.9,1565.4,1627.6,1703.4,1769.0,1834.0,1901.0,1977.1,2011.5,2121.8,2499.5,2623.1,2484.7,2176.9,2243.3,2540.1,2823.3,3340.5,3752.5,3954.6
86,"Gambia, The",GMB,CO2 emissions (kt),EN.ATM.CO2E.KT,244.2,308.0,298.9,298.6,317.3,332.6,360.7,413.2,432.0,489.6,438.7,452.3,461.0,439.1,516.0,529.0,533.2,541.0,548.3,577.4
87,Guinea-Bissau,GNB,CO2 emissions (kt),EN.ATM.CO2E.KT,146.6,147.9,153.3,194.6,205.0,209.3,216.6,229.7,223.5,234.3,240.7,243.6,247.5,249.4,265.6,283.9,306.9,308.3,315.0,330.8
